id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
7399,C8-0000040-LIC,Active,2021-01-12T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-06-26T00:00:00,2024-06-25T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Csa La, LLC",SC Labs SoCal,"Alan Peyrat, Gerald Dabkowski, Gregory Balotin, Jacob Stoller, Jeffrey Gray, Jeffrey Jerome Vail, Jeffrey Journey, Valerie Scrogins, william cecil scrogins",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Bills@csalabs.Com,(904) 422-0673,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7402,C8-0000043-LIC,Active,2021-12-20T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2020-12-18T00:00:00,2024-12-18T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Verity Analytics, LLC",Verity Analytics,"Eric Aguilera, Mehdi Paul Hamrah",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Eric@verityanalytics.Com,(619) 213-7889,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7406,C8-0000047-LIC,Active,2022-01-21T00:00:00,Annual,Commercial -  Testing Laboratory,Data Not Available,2022-01-21T00:00:00,2025-01-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),Infinite Chemical Analysis Labs LLC,INFINITE CHEMICAL ANALYSIS LABS,"David Charles Marelius, Josh M Swider",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Admin@infinitecal.Com,(858) 623-2740,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7407,C8-0000048-LIC,Active,2022-02-08T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-02-08T00:00:00,2025-02-08T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Proforma Labs, LLC",Data Not Available,"Bryan Faith, Sharon Faith",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Monterey,Data Not Available,Danielf@proformalabs.Com,(602) 615-7892,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7408,C8-0000052-LIC,Active,2019-07-09T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-07-09T00:00:00,2024-07-08T00:00:00,BCC,Bureau of Cannabis Control (BCC),Anresco Incorporated,Anresco Laboratories,"Amanda Eisenberg, David Albert-Anthony Eisenberg, Zachary Eisenberg",Corporation,Data Not Available,Not Published,Data Not Available,CA,San Francisco,Data Not Available,Zach@anresco.Com,(415) 822-1100,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7410,C8-0000054-LIC,Active,2021-04-28T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-04-28T00:00:00,2024-04-28T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Pride Analytics And Consulting, LLC",2 River Labs,Zachery Meyer,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Zac@prideanalytics.Com,(920) 390-1129,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7412,C8-0000059-LIC,Active,2021-06-22T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-06-22T00:00:00,2024-06-22T00:00:00,BCC,Bureau of Cannabis Control (BCC),Excelbis Labs LLC,Excelbis Labs,"Keven Sunil Brahmbhatt, Rashila S Brahmbhatt",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Orange,Data Not Available,Keven@excelbislabs.Com,(714) 595-1965,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7415,C8-0000068-LIC,Active,2022-07-26T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-07-26T00:00:00,2024-07-25T00:00:00,BCC,Bureau of Cannabis Control (BCC),California Cannabis Testing Labs,CALIFORNIA CANNABIS TESTING LABS,"Krishna Chivukula, Melissa Marcott Mabe, Roger Chivukula",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Michael@cctestinglabs.Com,(818) 606-8108,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7416,C8-0000069-LIC,Active,2021-07-07T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-07-07T00:00:00,2024-07-07T00:00:00,BCC,Bureau of Cannabis Control (BCC),La Test Labs LLC,Pacific Star Labs,"David James Winternheimer, Diane Valine",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Info@latestlabsLLC.Com,(310) 538-2094,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7417,C8-0000072-LIC,Active,2019-08-05T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-05T00:00:00,2024-08-04T00:00:00,BCC,Bureau of Cannabis Control (BCC),2 River Labs,2 River Labs,"Matt Bailey, Michael Roman",Corporation,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Matt.Bailey@2riverlabs.Com,(916) 717-3561,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7419,C8-0000078-LIC,Active,2019-11-05T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-20T00:00:00,2024-08-19T00:00:00,BCC,Bureau of Cannabis Control (BCC),Green Leaf Labs Ca LLC,Green Leaf Lab,Rowshan Reordan,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Rowshan.Reordan@greenleaflabs.Com,(503) 250-2912,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7421,C8-0000086-LIC,Active,2019-08-28T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-08-28T00:00:00,2024-08-27T00:00:00,BCC,Bureau of Cannabis Control (BCC),Encore Labs LLC,ENCORE LABS,Joseph Wang,Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Jwang@encore-Labs.Com,(626) 696-3086,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7422,C8-0000098-LIC,Active,2021-09-20T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-09-17T00:00:00,2024-09-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),Pharmlabs LLC,Pharmlabs,"Beau Rillo, Gregory Aaron Magdoff",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Greg@sdpharmlabs.Com,(925) 262-3883,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7423,C8-0000104-LIC,Active,2019-10-02T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2019-10-02T00:00:00,2024-10-01T00:00:00,BCC,Bureau of Cannabis Control (BCC),Caligreen Laboratory,Data Not Available,"Karina Glosman, MARIANNA NUDEL-LUMMER, Nelly Cobos, Oksana Glosman",Corporation,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Nelly@caligreenlaboratory.Com,(818) 792-0001,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7463,C8-0000121-LIC,Active,2022-02-15T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-02-15T00:00:00,2024-02-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Confidence Analytics Ca, LLC",Confidence Analytics,"Bobby Hines, Donna Mosely, Nicholas Mosely",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,San Luis Obispo,Data Not Available,Confidenceanalyticsca@gmail.Com,(805) 273-6551,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7464,C8-0000122-LIC,Active,2021-10-06T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2021-10-06T00:00:00,2024-10-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Hk Holding, LLC",SQRD Lab,"Jason Cooley, Sherif Khalil",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Sherifkhalil22@gmail.Com,(248) 819-0708,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7465,C8-0000123-LIC,Active,2022-02-17T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-02-17T00:00:00,2024-02-17T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Advanced Analytical Labs, Inc.",Advanced Analytical Labs,"Brian George Fulginiti, Jagadamba Chandrasekhar, Krishna Chivukula, Roger Chivukula",Corporation,Data Not Available,Not Published,Data Not Available,CA,Sonoma,Data Not Available,Alyssa@advancedal.Com,(707) 843-7965,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7468,C8-0000133-LIC,Active,2022-04-14T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-04-14T00:00:00,2024-04-14T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Ils Labs, Inc.",Quality Cannabis Laboratory,"Ann Noori Shammam, Danny Barka",Corporation,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Barkalicensing@gmail.Com,(619) 750-6050,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7470,C8-0000138-LIC,Active,2022-05-27T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-05-27T00:00:00,2024-05-27T00:00:00,BCC,Bureau of Cannabis Control (BCC),Vk Labs LLC,Decano Analytical Laboratories,"Albert Poghosyan, Michelle Marie Chakalian",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Info@decanolabs.Org,(657) 999-8999,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7472,C8-0000143-LIC,Active,2022-06-21T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-06-21T00:00:00,2024-06-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),Purity Medical Laboratories LLC,Purity Medical Laboratories,"John Bral, Nader Mirhoseni",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Orange,Data Not Available,Nader@puritymedlabs.Com,(949) 721-8600,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7473,C8-0000144-LIC,Active,2022-06-21T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-06-21T00:00:00,2024-06-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Spectrum Cannalabs, Inc.",Spectrum CL,"Carlos D Balagot, Haydee Cuza, Michael Espinoza, Sarita L Evans",Corporation,Data Not Available,Not Published,Data Not Available,CA,Yolo,Data Not Available,Cbalagot@spectrumcl.Com,(650) 200-3387,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7475,C8-0000150-LIC,Active,2022-06-29T00:00:00,Provisional,Commercial -  Testing Laboratory,Data Not Available,2022-06-29T00:00:00,2024-06-29T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Qtl, Inc.",Quality Testing Lab,Megan Newton,Corporation,Data Not Available,Not Published,Data Not Available,CA,Orange,Data Not Available,Megan@qtllab.Com,(949) 398-6460,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7476,C8-0000171-LIC,Active,2023-04-16T00:00:00,Interim,Commercial -  Testing Laboratory,Data Not Available,2023-04-16T00:00:00,2024-04-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"High Sierra Analytics, Inc.",High Sierra Analytics,"Maria Rachel Magno McNeal, SHAYAN PEYVANDI, Thomas Gromis",Corporation,Data Not Available,Not Published,Data Not Available,CA,San Benito,Data Not Available,Highsierraanalytics@gmail.Com,(559) 213-4095,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7477,C8-0000172-LIC,Active,2023-04-24T00:00:00,Interim,Commercial -  Testing Laboratory,Data Not Available,2023-04-24T00:00:00,2024-04-23T00:00:00,BCC,Bureau of Cannabis Control (BCC),Nature Safe Labs,Data Not Available,"Carl Larry Beardsley, Ralene Marie Cavataio, William Bruce Jones",Corporation,Data Not Available,Not Published,Data Not Available,CA,San Diego,Data Not Available,Larry@naturesafelabs.Com,(619) 519-1800,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7478,C8-0000173-LIC,Active,2023-05-10T00:00:00,Annual,Commercial -  Testing Laboratory,Data Not Available,2023-05-10T00:00:00,2024-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Agq Green Nature,Data Not Available,"Estanislao Martinez Martinez, Maria del Coral Zamora de la Cruz, Paulina Gastelum",Corporation,Data Not Available,Not Published,Data Not Available,CA,Santa Barbara,Data Not Available,Czamora@agqlabs.Com,(805) 816-7849,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7479,C8-0000174-LIC,Active,2023-08-02T00:00:00,Interim,Commercial -  Testing Laboratory,Data Not Available,2023-08-02T00:00:00,2024-08-01T00:00:00,BCC,Bureau of Cannabis Control (BCC),U.S. Cannabis Laboratories,U.S. CANNABIS LABORATORIES,Juan D Avravanel Berdugo,Corporation,Data Not Available,Not Published,Data Not Available,CA,San Bernardino,Data Not Available,John@uscannabislaboratories.Com,(323) 359-5210,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7480,C8-0000175-LIC,Active,2023-08-17T00:00:00,Interim,Commercial -  Testing Laboratory,Data Not Available,2023-08-17T00:00:00,2024-08-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Pure Cannalyst Lab, Inc.",Pure Cannalyst Labs,"Desiree Monique Hedge, Edward John Hedge, Heather Elizabeth Greenman, Jeffrey John Greenman",Corporation,Data Not Available,Not Published,Data Not Available,CA,Orange,Data Not Available,A.Price@purecannalystlabs.Com,(949) 540-6960,Data Not Available,,,2024-02-12T04:55:01.1266667,,
7481,C8-0000176-LIC,Active,2023-12-13T00:00:00,Interim,Commercial -  Testing Laboratory,Data Not Available,2023-12-13T00:00:00,2024-12-12T00:00:00,BCC,Bureau of Cannabis Control (BCC),Big Valley Analytical Inc.,Big Valley Analytical Inc,"Dan Graydon, Jeffrey Glen Hatley, Mark Dutra, Steven D Dutra",Corporation,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Accounting@bigvalleyanalytical.Com,(408) 674-9008,Data Not Available,,,2024-02-12T04:55:01.1266667,,
