license_number,business_dba_name,CEID,license_type,LicenseStatus,premise_county,id,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date,county,analyses,premise_city,premise_latitude,premise_longitude,premise_street_address,premise_zip_code,license_status,cultivator,retailer
03137125388697415604,Green Therapeutics Llc,T036,Retail Distributor,Active,Clark,03137125388697415604,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN THERAPEUTICS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
03310174034843985324,Floret Nevada Llc,T052,Retail Distributor,Non-Operational,Washoe,03310174034843985324,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FLORET NEVADA LLC,,,,,,,,,2023-12-11,,,,,,,,,,
03595374519108477279,Greenpoint Nevada Inc,RP027,Retail Production,Non-Operational,Washoe,03595374519108477279,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENPOINT NEVADA INC,,,,,,,,,2023-12-11,,,,,,,,,,
03736631201004083296,V6E Holdings Inc,C034,Medical Cultivation,Non-Operational,Clark,03736631201004083296,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-12-11,,,,,,,,,,
03754325902079441647,374 Labs Llc,L012,Medical Laboratory,Active,Washoe,03754325902079441647,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,374 LABS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
04045523128584413069,Mmof Vegas Retail Inc,RD078,Retail Dispensary,Active,Clark,04045523128584413069,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL INC,,,,,,,,,2023-12-11,,,,,,,,,,
04054268305722414317,Cheyenne Medical Elko Rd267 Llc,RD267,Retail Dispensary,Active,Elko,04054268305722414317,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL ELKO RD267 LLC,,,,,,,,,2023-12-11,,,,,,,,,,
04186481440349513323,Livfree Wellness Llc A Nevada Limited Liability Company,D017,Medical Dispensary,Active,Washoe,04186481440349513323,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-12-11,,,,,,,,,,
04387494772690441219,Sensible Edibles Llc,P076,Medical Production,Non-Operational,Washoe,04387494772690441219,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SENSIBLE EDIBLES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
04624179906329237338,Acres Dispensary Llc,D208,Medical Dispensary,Active,White Pine,04624179906329237338,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES DISPENSARY LLC,,,,,,,,,2023-12-11,,,,,,,,,,
04816345591321160151,Twelve Twelve Llc,C119,Medical Cultivation,Active,Clark,04816345591321160151,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TWELVE TWELVE LLC,,,,,,,,,2023-12-11,,,,,,,,,,
04850532340024898157,Range Brands Llc,RC057,Retail Cultivation,Non-Operational,Clark,04850532340024898157,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,RANGE BRANDS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
05190167691119502478,Mm Development Company Inc,RP002,Retail Production,Active,Clark,05190167691119502478,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2023-12-11,,,,,,,,,,
05301281568195858289,Natures Kindest Llc,C008,Medical Cultivation,Non-Operational,Clark,05301281568195858289,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURES KINDEST LLC,,,,,,,,,2023-12-11,,,,,,,,,,
05344592693159836450,Washoe Dispensary Llc,D057,Medical Dispensary,Active,Washoe,05344592693159836450,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WASHOE DISPENSARY LLC,,,,,,,,,2023-12-11,,,,,,,,,,
05439548708602328194,Mbnv Gt Llc,RP054,Retail Production,Active,Clark,05439548708602328194,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MBNV GT LLC,,,,,,,,,2023-12-11,,,,,,,,,,
05897059682265869611,Rural Remedies Llc,P128,Medical Production,Active,Lander,05897059682265869611,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,RURAL REMEDIES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
05913170220874047306,Euphoria Wellness Llc,RC072,Retail Cultivation,Active,Clark,05913170220874047306,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,EUPHORIA WELLNESS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06073658143877524618,Greenmart Of Nevada Llc,RC038,Retail Cultivation,Non-Operational,Clark,06073658143877524618,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06113068616119421027,Wellness Orchards Of Nevada Llc,C062,Medical Cultivation,Active,Nye,06113068616119421027,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS ORCHARDS OF NEVADA LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06179175334379207017,Pure Tonic Concentrates Llc,P067,Medical Production,Active,Washoe,06179175334379207017,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PURE TONIC CONCENTRATES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06179984770837282920,Silver State Cultivation Llc,RP001,Retail Production,Active,Washoe,06179984770837282920,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE CULTIVATION LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06231235891852444163,Emk Hydrogarden Llc,C171,Medical Cultivation,Active,Clark,06231235891852444163,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,EMK HYDROGARDEN LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06347213896566425206,Integral Associates Llc,RD044,Retail Dispensary,Active,Clark,06347213896566425206,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,INTEGRAL ASSOCIATES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06631653288563505740,800 Stillwell Llc,C089,Medical Cultivation,Active,Washoe,06631653288563505740,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,800 STILLWELL LLC,,,,,,,,,2023-12-11,,,,,,,,,,
06856901757246284891,V6E Holdings Inc,RC034,Retail Cultivation,Non-Operational,Clark,06856901757246284891,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-12-11,,,,,,,,,,
06883809308574997017,Ftlb Llc,P140,Medical Production,Active,Esmeralda,06883809308574997017,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FTLB LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07154062603138326198,Healthcare Options For Patients Enterprises Llc,RC129,Retail Cultivation,Active,Clark,07154062603138326198,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HEALTHCARE OPTIONS FOR PATIENTS ENTERPRISES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07214141470882695436,Lvig Holdings Llc,RC158,Retail Cultivation,Active,Clark,07214141470882695436,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVIG HOLDINGS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07614508649058338463,Greenleaf Production Inc,RP041,Retail Production,Active,Washoe,07614508649058338463,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF PRODUCTION INC,,,,,,,,,2023-12-11,,,,,,,,,,
07617999699850287687,Carson City Agency Solutions Llc,T017,Retail Distributor,Active,Carson City,07617999699850287687,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CARSON CITY AGENCY SOLUTIONS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07640679102865450621,Bayou Buds Llc,C106,Medical Cultivation,Non-Operational,Clark,07640679102865450621,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,BAYOU BUDS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07716430045859597948,Clear River Llc,RD231,Retail Dispensary,Active,Clark,07716430045859597948,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07793712489874595708,Mj Distributing P133 Llc,RP133,Retail Production,Active,Nye,07793712489874595708,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P133 LLC,,,,,,,,,2023-12-11,,,,,,,,,,
07912568590104527553,Mmnv2 Holdings I Llc,RC025,Retail Cultivation,Active,Washoe,07912568590104527553,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMNV2 HOLDINGS I LLC,,,,,,,,,2023-12-11,,,,,,,,,,
08162604527632298682,Csnlv Llc,RC180,Retail Cultivation,Active,Clark,08162604527632298682,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CSNLV LLC,,,,,,,,,2023-12-11,,,,,,,,,,
08300436904530710396,Nv Green Inc,RP004,Retail Production,Active,Washoe,08300436904530710396,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV GREEN INC,,,,,,,,,2023-12-11,,,,,,,,,,
08397135597394271337,West118 Investments Llc,P125,Medical Production,Active,Lyon,08397135597394271337,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WEST118 INVESTMENTS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
08487688474890863372,Wscc Inc,RD149,Retail Dispensary,Active,Carson City,08487688474890863372,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-12-11,,,,,,,,,,
08542800532746610043,Ssac Corporation,RP050,Retail Production,Active,Washoe,08542800532746610043,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC CORPORATION,,,,,,,,,2023-12-11,,,,,,,,,,
08705048067480042809,Mj Distributing P133 Llc,P133,Medical Production,Active,Nye,08705048067480042809,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P133 LLC,,,,,,,,,2023-12-11,,,,,,,,,,
08792343110299625005,Livfree Wellness Llc A Nevada Limited Liability Company,RD050,Retail Dispensary,Active,Clark,08792343110299625005,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-12-11,,,,,,,,,,
09127772901374202190,Nuleaf Sparks Cultivation Llc,RC064,Retail Cultivation,Active,Washoe,09127772901374202190,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NULEAF SPARKS CULTIVATION LLC,,,,,,,,,2023-12-11,,,,,,,,,,
09187693713312678064,Dec Ops Nv Llc,C010,Medical Cultivation,Active,Clark,09187693713312678064,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DEC OPS NV LLC,,,,,,,,,2023-12-11,,,,,,,,,,
09259278323384314999,Greenleaf Enterprises Inc,RC050,Retail Cultivation,Active,Washoe,09259278323384314999,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF ENTERPRISES INC,,,,,,,,,2023-12-11,,,,,,,,,,
09271842370730937488,Essence Henderson Llc,RD345,Retail Dispensary,Active,Clark,09271842370730937488,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE HENDERSON LLC,,,,,,,,,2023-12-11,,,,,,,,,,
09485024341050013930,Rombough Real Estate Inc,C068,Medical Cultivation,Active,Clark,09485024341050013930,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ROMBOUGH REAL ESTATE INC,,,,,,,,,2023-12-11,,,,,,,,,,
09514149227211118967,Desert Aire Wellness Llc,D169,Medical Dispensary,Active,Clark,09514149227211118967,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DESERT AIRE WELLNESS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10157851668078035933,High Sierra Holistics Llc,RC108,Retail Cultivation,Active,Washoe,10157851668078035933,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HIGH SIERRA HOLISTICS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10197329605365016654,Integral Associates Llc,D044,Medical Dispensary,Active,Clark,10197329605365016654,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,INTEGRAL ASSOCIATES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10204272765771786596,Greenway Health Community Llc,RP097,Retail Production,Active,Clark,10204272765771786596,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY HEALTH COMMUNITY LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10340862547948454764,Naturex Llc,RD081,Retail Dispensary,Active,Clark,10340862547948454764,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATUREX LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10390116224938552959,Unifern Llc,RP116,Retail Production,Active,Clark,10390116224938552959,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10434823336431109693,Cheyenne Medical Llc,D028,Medical Dispensary,Active,Clark,10434823336431109693,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10562198318597452248,Wscc Inc,T091,Retail Distributor,Active,Washoe,10562198318597452248,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-12-11,,,,,,,,,,
10749329530975088571,Cr/P Las Vegas Llc,D059,Medical Dispensary,Active,Clark,10749329530975088571,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CR/P LAS VEGAS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10899841596112495650,Mm R & D Llc,D098,Medical Dispensary,Active,Churchill,10899841596112495650,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM R & D LLC,,,,,,,,,2023-12-11,,,,,,,,,,
10982097214978528659,Cn Licensco Iii Inc,RC090,Retail Cultivation,Active,Clark,10982097214978528659,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSCO III INC,,,,,,,,,2023-12-11,,,,,,,,,,
11023162879454781073,Unifern Llc,P116,Medical Production,Active,Clark,11023162879454781073,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-12-11,,,,,,,,,,
11058209030610809158,Acres Medical Llc,RD011,Retail Dispensary,Active,Clark,11058209030610809158,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES MEDICAL LLC,,,,,,,,,2023-12-11,,,,,,,,,,
11272007909136750453,Nye Farm Tech Ltd,RC169,Retail Cultivation,Active,Nye,11272007909136750453,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE FARM TECH LTD,,,,,,,,,2023-12-11,,,,,,,,,,
11443721033142554219,Silver State Relief Llc,RD002,Retail Dispensary,Active,Washoe,11443721033142554219,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE RELIEF LLC,,,,,,,,,2023-12-11,,,,,,,,,,
11579180192771873986,Lvop Holdings Llc,P102,Medical Production,Active,Clark,11579180192771873986,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVOP HOLDINGS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
11679863451946958412,Greenmart Of Nevada Nlv Llc,RD504,Retail Dispensary,Active,Clark,11679863451946958412,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA NLV LLC,,,,,,,,,2023-12-11,,,,,,,,,,
11743039826058438262,Mbnv Investments Llc,C078,Medical Cultivation,Active,Clark,11743039826058438262,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MBNV INVESTMENTS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
12078072637090304628,Tahoe-Reno Extractions Llc,P060,Medical Production,Active,Washoe,12078072637090304628,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE-RENO EXTRACTIONS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
12860017177223316229,Gb Sciences Nevada Llc,RC019,Retail Cultivation,Active,Clark,12860017177223316229,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GB SCIENCES NEVADA LLC,,,,,,,,,2023-12-11,,,,,,,,,,
13109494552101077982,Natural Medicine Llc,RP039,Retail Production,Active,Clark,13109494552101077982,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURAL MEDICINE LLC,,,,,,,,,2023-12-11,,,,,,,,,,
13244303247046007918,Lemon Aide Llc,RD090,Retail Dispensary,Active,Washoe,13244303247046007918,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LEMON AIDE LLC,,,,,,,,,2023-12-11,,,,,,,,,,
13351121953140240442,Mm Development Company Inc,RP034,Retail Production,Active,Clark,13351121953140240442,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2023-12-11,,,,,,,,,,
13780932467124103722,Tgig Llc,D045,Medical Dispensary,Active,Clark,13780932467124103722,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2023-12-11,,,,,,,,,,
13858476118270787452,Urban Hills Llc,RC127,Retail Cultivation,Active,Washoe,13858476118270787452,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,URBAN HILLS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
13932286413907255774,Nevada Organic Remedies Llc,RD217,Retail Dispensary,Active,Clark,13932286413907255774,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA ORGANIC REMEDIES LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14023272993797946504,Lone Mountain Partners Llc,T048,Retail Distributor,Active,Clark,14023272993797946504,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LONE MOUNTAIN PARTNERS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14098201691938701085,Nv 3480 Partners Llc,C058,Medical Cultivation,Non-Operational,Clark,14098201691938701085,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV 3480 PARTNERS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14194022211467850983,Commerce Park Medical Cactus Rd329 Llc,RD329,Retail Dispensary,Active,Clark,14194022211467850983,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,COMMERCE PARK MEDICAL CACTUS RD329 LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14387723470413703993,Gravitas Nevada Ltd,T033,Retail Distributor,Non-Operational,Clark,14387723470413703993,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GRAVITAS NEVADA LTD,,,,,,,,,2023-12-11,,,,,,,,,,
14394207930615021142,Nevada Pure Llc,C026,Medical Cultivation,Active,Clark,14394207930615021142,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA PURE LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14501073281263752947,Cclv Manufacturing Center Llc,RC135,Retail Cultivation,Active,Clark,14501073281263752947,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CCLV MANUFACTURING CENTER LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14504799651148975256,Livfree Wellness Llc A Nevada Limited Liability Company,T093,Retail Distributor,Active,Clark,14504799651148975256,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-12-11,,,,,,,,,,
14809817671653404105,Nye Farm Tech Ltd,C169,Medical Cultivation,Active,Nye,14809817671653404105,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE FARM TECH LTD,,,,,,,,,2023-12-11,,,,,,,,,,
14864731709040080608,Tryke Companies Reno Llc,RD040,Retail Dispensary,Active,Washoe,14864731709040080608,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRYKE COMPANIES RENO LLC,,,,,,,,,2023-12-11,,,,,,,,,,
14978597976174950388,Kayas Kitchen Llc,P100,Medical Production,Active,Washoe,14978597976174950388,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,KAYAS KITCHEN LLC,,,,,,,,,2023-12-11,,,,,,,,,,
15066280419696569275,Tahoe Hydroponics Company Llc,RC109,Retail Cultivation,Active,Carson City,15066280419696569275,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE HYDROPONICS COMPANY LLC,,,,,,,,,2023-12-11,,,,,,,,,,
15398675340409721326,Div Holdings Llc,RD192,Retail Dispensary,Active,Clark,15398675340409721326,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DIV HOLDINGS LLC,,,,,,,,,2023-12-11,,,,,,,,,,
