id,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_owner_name,business_structure,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date,business_image_url,business_website
1602,C10-0000021-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-24T00:00:00,2025-04-23T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Delta Health & Wellness, Inc.",Data Not Available,"Diem  Quinlan, Hung Nguyen, Toan Chu",Corporation,Data Not Available,2416 17th St,Sacramento,CA,Sacramento,95818,Deltahealthwellness@gmail.Com,(916) 231-9934,Data Not Available,38.56216035,-121.49062503,2024-08-05T04:42:10.1866667,,
1508,C10-0000022-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-24T00:00:00,2025-04-23T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Cali Kosher, Inc",Empire Health and Wellness - Oakdale,Darron Silva,Corporation,Data Not Available,633 Armstrong Way,Oakdale,CA,Stanislaus,95361,Jdl272@yahoo.Com,(209) 216-8966,Data Not Available,37.752879,-120.833993,2024-08-05T04:42:10.1866667,,
1603,C10-0000023-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-24T00:00:00,2025-04-23T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Sunset Herbal Corner, Inc.",Data Not Available,Arshavir Mertkhayan,Corporation,Data Not Available,11503 Burbank Blvd,North Hollywood,CA,Los Angeles,91601,Sunsetherbalcorner@gmail.Com,(323) 459-2227,Data Not Available,34.17247261,-118.38241577,2024-08-05T04:42:10.1866667,,
1605,C10-0000025-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-26T00:00:00,2025-04-25T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Perfect Union - Weed, LLC",Goldenhour Collective,"Mansoor Zakaria, Thomas Cologna, Thomas Sheridan",Limited Liability Company,Data Not Available,241 Main St,Weed,CA,Siskiyou,96094,Licensing@mwgholdings.Com,(415) 275-1925,Data Not Available,41.424342,-122.384059,2024-08-05T04:42:10.1866667,,
1606,C10-0000026-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-26T00:00:00,2025-04-25T00:00:00,BCC,Bureau of Cannabis Control (BCC),Gold Flora Partners LLC,King's Crew,"Daniel Thompson, Greg Gamet, Laurie Holcomb, Marshall Minor",Limited Liability Company,Data Not Available,5630 Pacific Coast Hwy E,Long Beach,CA,Los Angeles,90814,Greg@goldflora.Com,(720) 352-2380,Data Not Available,33.774777,-118.122418,2024-08-05T04:42:10.1866667,,
1607,C10-0000027-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-04-30T00:00:00,2025-04-29T00:00:00,BCC,Bureau of Cannabis Control (BCC),Blum San Leandro,Blum San Leandro,"Eric Baum, Nick Kovacevich, Patty Chan, Robert Baca, Sabas Carillo",Corporation,Data Not Available,1915 Fairway Dr,San Leandro,CA,Alameda,94577,Businesscontact@unrivaledbrands.Com,(510) 338-4447,Data Not Available,37.703711,-122.16888,2024-08-05T04:42:10.1866667,,
1608,C10-0000028-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-01T00:00:00,2025-04-30T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Sespe Creek Collective, Inc. [Equity Retailer]","SESPE CREEK COLLECTIVE, INC. [Equity Retailer]",Chelsea Sutula,Corporation,Data Not Available,"408 Bryant Cir, Unit C",Ojai,CA,Ventura,93023,Info@sespe.Org,(855) 722-9333,Data Not Available,34.44796753,-119.24298096,2024-08-05T04:42:10.1866667,,
1610,C10-0000030-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-01T00:00:00,2025-04-30T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Dbo Investments Ph, LLC [Equity Retailer]",From The Earth [Equity Retailer],"Dan Zaharoni, Kintu Patel",Limited Liability Company,Data Not Available,2675 N Ventura Rd,Port Hueneme,CA,Ventura,93041,D@fteusa.Com,(805) 414-1394,Data Not Available,34.178193,-119.196402,2024-08-05T04:42:10.1866667,,
1611,C10-0000031-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-03T00:00:00,2025-05-02T00:00:00,BCC,Bureau of Cannabis Control (BCC),Eccwh LLC,Elevate,"Anna Kay, Armen Tovmasyan, Haroutyun Vardanyan, Kevin  Krivitsky",Limited Liability Company,Data Not Available,20010 Ventura Blvd,Woodland HLS,CA,Los Angeles,91364,Humboldtrelief@yahoo.Com,(310) 503-3532,Data Not Available,34.171557,-118.568668,2024-08-05T04:42:10.1866667,,
1612,C10-0000032-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),The Healing Center Needles,THE HEALING CENTER NEEDLES,"Amar Salim, Sarmad Hawayi",Corporation,Data Not Available,"1400 Needles Hwy, Suite 100",Needles,CA,San Bernardino,92363,Shayawi@gmail.Com,(619) 729-7785,Data Not Available,34.84895,-114.610858,2024-08-05T04:42:10.1866667,,
1613,C10-0000033-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Berkeley Patients Group, Inc.",BPG,"Etienne  Fontan, Timothy Schick",Corporation,Data Not Available,2366 San Pablo Ave,Berkeley,CA,Alameda,94702,Compliance@mybpg.Com,(510) 540-6013,Data Not Available,37.863312,-122.290679,2024-08-05T04:42:10.1866667,,
1614,C10-0000034-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),Emerald Perspective Cooperative Inc,Emerald Perspective,Richard Whippo,Corporation,Data Not Available,100 Pleasant Valley Rd W,Port Hueneme,CA,Ventura,93041,Emeraldperspective@gmail.Com,(805) 350-9874,Data Not Available,34.154715,-119.200269,2024-08-05T04:42:10.1866667,,
1615,C10-0000035-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Vrc Lmt, Inc [Equity Retailer]",Vapor Room [Equity Retailer],"Martin Olive, TINA GORDON",Corporation,Data Not Available,79 9th St,San Francisco,CA,San Francisco,94103,Martin@vaporroom.Com,(415) 626-2100,Data Not Available,37.77651641,-122.41507881,2024-08-05T04:42:10.1866667,,
1616,C10-0000036-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),Sundial Collective,Sundial Collective,Ashley   Papazian,Limited Liability Company,Data Not Available,827 Twin View Blvd,Redding,CA,Shasta,96003,RreLLC@enlighten.LLC,(530) 953-0277,Data Not Available,40.619019,-122.371144,2024-08-05T04:42:10.1866667,,
1617,C10-0000037-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-06T00:00:00,2025-05-05T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Studio City Caregivers, Inc.","Markt., 10DollarBuds","Beckie  Zihan Yue, Leonard  Wang, MIng Fong, Tony Fong",Corporation,Data Not Available,3625 Cahuenga Blvd W,Los Angeles,CA,Los Angeles,90068,Universalcollective@yahoo.Com,(323) 850-1847,Data Not Available,34.134428,-118.36017,2024-08-05T04:42:10.1866667,,
1618,C10-0000038-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-07T00:00:00,2025-05-06T00:00:00,BCC,Bureau of Cannabis Control (BCC),Lake Elsinore Community Investment Corp,Mr Nice Guy Marijuana Cannabis Dispensary Lake Elsinore,"Joseph Martin, Patrick Martin",Corporation,Data Not Available,311 Minthorn St W,Lake Elsinore,CA,Riverside,92530,Mngstatelicensing@gmail.Com,(949) 293-2370,Data Not Available,33.678963,-117.327407,2024-08-05T04:42:10.1866667,,
1808,C10-0000041-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-08T00:00:00,2025-05-07T00:00:00,BCC,Bureau of Cannabis Control (BCC),"San Fernando Valley Patients' Cooperative, A Non-Profit Corporation [Equity Retailer]",INSTAJANE [Equity Retailer],"Kaylin De Silva, Neranjika De Silva, Ramon Lamela",Corporation,Data Not Available,12527 San Fernando Rd,Sylmar,CA,Los Angeles,91342,Admin@sfvog.Org,(818) 280-6868,Data Not Available,34.297672,-118.457873,2024-08-05T04:42:10.1866667,,
1659,C10-0000042-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-08T00:00:00,2025-05-07T00:00:00,BCC,Bureau of Cannabis Control (BCC),Wonderland Oasis Inc.,Sugarbudz,"DILDORA DIAZ ZAYNIYEVA, Felix Tsipris",Corporation,Data Not Available,"9830 San Fernando Rd, Bldg 4 Unit 1",Pacoima,CA,Los Angeles,91331,Wonderlandoasis9830@gmail.Com,(818) 216-8217,Data Not Available,34.249443,-118.403071,2024-08-05T04:42:10.1866667,,
1661,C10-0000044-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Bud And Bloom,Farmacy Santa Ana,"Graham Farrar, Kyle Kazan",Corporation,Data Not Available,1327 St. Gertrude Pl E,Santa Ana,CA,Orange,92705,Jocelyn@bfpminc.Com,(714) 576-2150,Data Not Available,33.719803,-117.852721,2024-08-05T04:42:10.1866667,,
1662,C10-0000045-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Palm Desert Hwy 111 E Retail LLC,Palm Royale Collective Too,"Joshua  Disalle, Kenneth  Churchill, Michael Berk, Scott  Berk, Seth Berk, Thomas Lopez",Limited Liability Company,Data Not Available,74425 Highway 111,Palm Desert,CA,Riverside,92260,Tom@westcoastcannabis.Club,(805) 603-0503,Data Not Available,33.720906,-116.365745,2024-08-05T04:42:10.1866667,,
1664,C10-0000047-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Agmd Logistics LLC,Ojai Greens,"Debbie Young, Jeff Millott",Limited Liability Company,Data Not Available,"410 Bryant Cir, Unit C & D",Ojai,CA,Ventura,93023,Jeff@ojaigreens.Com,(805) 861-6946,Data Not Available,34.44687653,-119.25497437,2024-08-05T04:42:10.1866667,,
1665,C10-0000048-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),Melrose Herbal Collective LLC,LA CANNABIS CO EST 2007,"ARMEN  PARONYAN, Arutyun  Yegoyan, Garnik Paronyan",Corporation,Data Not Available,1603 La Brea Ave S,Los Angeles,CA,Los Angeles,90019,Robertfedor@att.Com,(805) 886-5613,Data Not Available,34.045259,-118.345924,2024-08-05T04:42:10.1866667,,
1666,C10-0000049-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Organic Green Treatment Center, LLC",LA CANNABIS CO EST 2007,"ARMEN PARONYAN, ARUTYUN YEGOYAN, GARNIK PARONYAN",Limited Liability Company,Data Not Available,3791 S 2nd Ave,Los Angeles,CA,Los Angeles,90018,Armenvn@yahoo.Com,(323) 778-8540,Data Not Available,34.01882338,-118.31908672,2024-08-05T04:42:10.1866667,,
1667,C10-0000050-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-10T00:00:00,2025-05-09T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Phc Facilities, Inc.",Project Cannabis DTLA,"Alison Worthington, Bryan  Olson, David Hart, David Sirolly, Derek Watson, Edvin Mailyan, Frank Savage, Guy Hussussian, James Kennedy, Jeffrey Clarke, Jesse Channon, Jonathan  May, Michael  Abbott, Nicholas Vita, Rosemary Mazenet, Saro Mailyan",Corporation,Data Not Available,1425 Long Beach Ave,Los Angeles,CA,Los Angeles,90021,Purpleheartdowntown@gmail.Com,(213) 493-4500,Data Not Available,34.025683,-118.241689,2024-08-05T04:42:10.1866667,,
1669,C10-0000052-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-14T00:00:00,2025-05-13T00:00:00,BCC,Bureau of Cannabis Control (BCC),"San Diego Natural, Inc.",Socal Cannabis Depot,"Darren Machulsky, Dylan Lair, Lincoln Fish, Loraine-Dale Hall, Samuel Birch",Corporation,Data Not Available,8530 Nelson Way,Escondido,CA,San Diego,92026,Dmachulsky@yahoo.Com,(609) 462-4234,Data Not Available,33.275499,-117.147255,2024-08-05T04:42:10.1866667,,
1670,C10-0000053-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-14T00:00:00,2025-05-13T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Bcok, Inc.",Stiiizy,"Brian Mitchell, James  Kim, Jonathan Avidor, Raquel  Origel, Takayuki Sato",Corporation,Data Not Available,3326 Mission St,San Francisco,CA,San Francisco,94110,Retail.Mission@stiizy.Com,(415) 787-6006,Data Not Available,37.743591,-122.421543,2024-08-05T04:42:10.1866667,,
1671,C10-0000054-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-14T00:00:00,2025-05-13T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Onesra Enterprises, Inc.","Euphoric Caregivers, Prop- 215",Arsen Ordoukhanian,Corporation,Data Not Available,10655 Pico Blvd W,Los Angeles,CA,Los Angeles,90064,Oarsen@ymail.Com,(310) 500-9858,Data Not Available,34.04277155,-118.42380637,2024-08-05T04:42:10.1866667,,
1673,C10-0000056-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-15T00:00:00,2025-05-14T00:00:00,BCC,Bureau of Cannabis Control (BCC),"The Green Goddess, Inc.",Green Goddess Collective,"Daniel Stein, John Adms, John Huffman",Corporation,Data Not Available,1716 Main St,Venice,CA,Los Angeles,90291,Daniel@greengoddesscollective.Com,(310) 396-7770,Data Not Available,33.98753478,-118.47047147,2024-08-05T04:42:10.1866667,,
3969,C10-0000057-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-15T00:00:00,2025-05-14T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Jet Room, Inc.",Data Not Available,"Lisa Guerra, Manuel Serrano",Corporation,Data Not Available,17499 Adelanto Rd,Adelanto,CA,San Bernardino,92301,Marcella@jetroom.Com,(909) 531-3793,Data Not Available,34.56834009,-117.40067004,2024-08-05T04:42:10.1866667,,
3970,C10-0000058-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-16T00:00:00,2025-05-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),Central Valley - Sierra Associates,The Higher Conscious,"Elliot Lewis, Sadie Schut",Corporation,Data Not Available,"100 Las Palmas Ave W, Suite H",Patterson,CA,Stanislaus,95363,Eklopping@gmail.Com,(209) 606-7913,Data Not Available,37.472418,-121.127729,2024-08-05T04:42:10.1866667,,
3971,C10-0000059-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-16T00:00:00,2025-05-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Valley Pure,LLC",VALLEY PURE,Bruce Kopitar,Limited Liability Company,Data Not Available,132 Valencia Blvd N,Woodlake,CA,Tulare,93286,Bruce@greensmartfarmer.Com,(559) 786-8882,Data Not Available,36.414466,-119.09864,2024-08-05T04:42:10.1866667,,
3972,C10-0000060-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-16T00:00:00,2025-05-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Silver Lake Caregivers Group, Inc.","SILVER LAKE CAREGVERS GROUP, INC.",TOLABUS STEIN,Corporation,Data Not Available,2470 Fletcher Dr N,Los Angeles,CA,Los Angeles,90039,Tobalus@gmail.Com,(213) 925-3158,Data Not Available,34.1072783,-118.2550517,2024-08-05T04:42:10.1866667,,
3973,C10-0000061-LIC,Active,,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-16T00:00:00,2025-05-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"North Hollywood Compassionate Caregivers, Inc.",Data Not Available,"Anna Proshak, Anzhela Proshak",Corporation,Data Not Available,8085 Webb Ave,N Hollywood,CA,Los Angeles,91605,Angie91356@gmail.Com,(818) 399-9715,Data Not Available,34.21766989,-118.38984316,2024-08-05T04:42:10.1866667,,
3974,C10-0000062-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-16T00:00:00,2025-05-15T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Coastal Dispensary, LLC","Coastal Dispensary, LLC","Greg Gamet, Judith  Schvimmer, Laurie Holcomb, Marshall Minor",Limited Liability Company,Data Not Available,1019 Chapala St,Santa Barbara,CA,Santa Barbara,93101,Info@coastaldispensary.Com,(805) 380-7730,Data Not Available,34.42073,-119.70396,2024-08-05T04:42:10.1866667,,
3976,C10-0000064-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-17T00:00:00,2025-05-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Hueneme Patient Consumer Collective, LLC.",HPC- Hueneme Patient Collective,Beth Thuna,Limited Liability Company,Data Not Available,"501 Channel Islands Blvd W, Unit 302",Port Hueneme,CA,Ventura,93041,Marwayconsults@gmail.Com,(805) 203-3016,Data Not Available,34.17600658,-119.21200339,2024-08-05T04:42:10.1866667,,
3977,C10-0000065-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-17T00:00:00,2025-05-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Homeopathic Cultivation, Inc",Desert Kush,"John Ramistella, Nicholas Kacha",Corporation,Data Not Available,36633 Cathedral Canyon Dr,Cathedral CTY,CA,Riverside,92234,Contact@mefarmacy.Com,(760) 832-8348,Data Not Available,33.782396,-116.467322,2024-08-05T04:42:10.1866667,,
3978,C10-0000066-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-17T00:00:00,2025-05-16T00:00:00,BCC,Bureau of Cannabis Control (BCC),Gravenstein 116 LLC,Solful,"Eli Melrod, Peter Dickstein, Richard McNally",Limited Liability Company,Data Not Available,785 Gravenstein Hwy S,Sebastopol,CA,Sonoma,95472,Eli@solful.Com,(415) 794-3363,Data Not Available,38.39483884,-122.8185487,2024-08-05T04:42:10.1866667,,
3979,C10-0000067-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-19T00:00:00,2025-05-18T00:00:00,BCC,Bureau of Cannabis Control (BCC),Element 7 Cathedral City Inc,Element 7 Cathedral City Inc,Robert  DiVito,Corporation,Data Not Available,"68945 Vista Chino, Suite C",Cathedral CTY,CA,Riverside,92234,Remedyinc.Meds@gmail.Com,(760) 832-7083,Data Not Available,33.844691,-116.459557,2024-08-05T04:42:10.1866667,,
3982,C10-0000070-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-20T00:00:00,2025-05-19T00:00:00,BCC,Bureau of Cannabis Control (BCC),Hah 1 LLC,Have a Heart CC,"Adam Levin, Jay  Henderson, Kevin Singer, Ryan Kunkel",Limited Liability Company,Data Not Available,1894 Hobsonway E,Blythe,CA,Riverside,92225,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,33.610434,-114.571242,2024-08-05T04:42:10.1866667,,
3985,C10-0000073-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-21T00:00:00,2025-05-20T00:00:00,BCC,Bureau of Cannabis Control (BCC),Black Oak Gallery,Blum,"Patty Chan, Robert Baca, Sabas  Carrillo",Corporation,Data Not Available,578 Grand Ave W,Oakland,CA,Alameda,94612,Businesscontact@unrivaledbrands.Com,(510) 338-4447,Data Not Available,37.812477,-122.270794,2024-08-05T04:42:10.1866667,,
3986,C10-0000074-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-22T00:00:00,2025-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Sb License 01, LLC",Captain Jacks,Jake Welty,Limited Liability Company,Data Not Available,"100 Hospitality Ln W, Suite 2",San Bernardino,CA,San Bernardino,92408,Info@captainjacks420.Com,(909) 381-6400,Data Not Available,34.066117,-117.285745,2024-08-05T04:42:10.1866667,,
3987,C10-0000075-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-22T00:00:00,2025-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Bud Relief, Inc.",MJ Direct-Lompoc,"HANI RAFEH, James Gillespie, William Gillespie",Corporation,Data Not Available,715 Ocean Ave E,Lompoc,CA,Santa Barbara,93436,Hailo19@hotmail.Com,(805) 294-0220,Data Not Available,34.63934,-120.455635,2024-08-05T04:42:10.1866667,,
15930,C10-0000076-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-22T00:00:00,2025-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Valley Greens Retail Outlet, Inc.",March and Ash Cannabis,"Blake Marchand, Breton Peace, Courtney Chamberlin, Greg Darling, Jonathan  Saco",Corporation,Data Not Available,"2835 Camino Del Rio S, Suite 100",San Diego,CA,San Diego,92108,Bret@marchandash.Com,(619) 504-2424,Data Not Available,32.769775,-117.132844,2024-08-05T04:42:10.1866667,,
16150,C10-0000078-LIC,Active,,Annual,Commercial -  Retailer,Adult-Use and Medicinal,2019-05-22T00:00:00,2025-05-21T00:00:00,BCC,Bureau of Cannabis Control (BCC),"Eshd, Inc",Green Mammoth,"Don Wright, Kathryn Wright",Corporation,Data Not Available,"94 Laurel Mountain Rd E, Suite 204",Mammoth Lakes,CA,Mono,93546,Juneya1980@gmail.Com,(760) 709-2548,Data Not Available,37.64520817,-118.96798935,2024-08-05T04:42:10.1866667,,
